macOS 统一 ONNX Runtime C API 推理结果
==========================================
平台: macOS
总样本数: 100
正确预测: 99
准确率: 99.00%
平均推理时间: 0.37 ms
推理速度: 2726.8 FPS

样本详细结果:
样本   0: 真实=2, 预测=2, 置信度=1.000, 时间=0.54 ms, 正确
样本   1: 真实=1, 预测=1, 置信度=1.000, 时间=0.42 ms, 正确
样本   2: 真实=1, 预测=1, 置信度=1.000, 时间=0.42 ms, 正确
样本   3: 真实=1, 预测=1, 置信度=1.000, 时间=0.42 ms, 正确
样本   4: 真实=2, 预测=2, 置信度=0.891, 时间=0.42 ms, 正确
样本   5: 真实=6, 预测=6, 置信度=1.000, 时间=0.42 ms, 正确
样本   6: 真实=3, 预测=3, 置信度=1.000, 时间=0.42 ms, 正确
样本   7: 真实=8, 预测=2, 置信度=0.769, 时间=0.42 ms, 错误
样本   8: 真实=2, 预测=2, 置信度=1.000, 时间=0.42 ms, 正确
样本   9: 真实=6, 预测=6, 置信度=1.000, 时间=0.42 ms, 正确
样本  10: 真实=4, 预测=4, 置信度=1.000, 时间=0.42 ms, 正确
样本  11: 真实=2, 预测=2, 置信度=1.000, 时间=0.42 ms, 正确
样本  12: 真实=0, 预测=0, 置信度=1.000, 时间=0.42 ms, 正确
样本  13: 真实=3, 预测=3, 置信度=0.999, 时间=0.40 ms, 正确
样本  14: 真实=3, 预测=3, 置信度=1.000, 时间=0.39 ms, 正确
样本  15: 真实=3, 预测=3, 置信度=1.000, 时间=0.40 ms, 正确
样本  16: 真实=1, 预测=1, 置信度=1.000, 时间=0.39 ms, 正确
样本  17: 真实=4, 预测=4, 置信度=1.000, 时间=0.39 ms, 正确
样本  18: 真实=3, 预测=3, 置信度=1.000, 时间=0.39 ms, 正确
样本  19: 真实=4, 预测=4, 置信度=1.000, 时间=0.39 ms, 正确
样本  20: 真实=0, 预测=0, 置信度=1.000, 时间=0.40 ms, 正确
样本  21: 真实=5, 预测=5, 置信度=1.000, 时间=0.39 ms, 正确
样本  22: 真实=0, 预测=0, 置信度=1.000, 时间=0.39 ms, 正确
样本  23: 真实=4, 预测=4, 置信度=1.000, 时间=0.40 ms, 正确
样本  24: 真实=6, 预测=6, 置信度=1.000, 时间=0.40 ms, 正确
样本  25: 真实=1, 预测=1, 置信度=1.000, 时间=0.40 ms, 正确
样本  26: 真实=6, 预测=6, 置信度=1.000, 时间=0.39 ms, 正确
样本  27: 真实=0, 预测=0, 置信度=0.992, 时间=0.39 ms, 正确
样本  28: 真实=3, 预测=3, 置信度=0.967, 时间=0.38 ms, 正确
样本  29: 真实=9, 预测=9, 置信度=1.000, 时间=0.38 ms, 正确
样本  30: 真实=0, 预测=0, 置信度=1.000, 时间=0.38 ms, 正确
样本  31: 真实=1, 预测=1, 置信度=1.000, 时间=0.37 ms, 正确
样本  32: 真实=5, 预测=5, 置信度=1.000, 时间=0.37 ms, 正确
样本  33: 真实=4, 预测=4, 置信度=1.000, 时间=0.38 ms, 正确
样本  34: 真实=0, 预测=0, 置信度=1.000, 时间=0.38 ms, 正确
样本  35: 真实=2, 预测=2, 置信度=1.000, 时间=0.37 ms, 正确
样本  36: 真实=4, 预测=4, 置信度=1.000, 时间=0.37 ms, 正确
样本  37: 真实=5, 预测=5, 置信度=1.000, 时间=0.37 ms, 正确
样本  38: 真实=9, 预测=9, 置信度=1.000, 时间=0.37 ms, 正确
样本  39: 真实=3, 预测=3, 置信度=1.000, 时间=0.37 ms, 正确
样本  40: 真实=9, 预测=9, 置信度=1.000, 时间=0.38 ms, 正确
样本  41: 真实=7, 预测=7, 置信度=1.000, 时间=0.38 ms, 正确
样本  42: 真实=9, 预测=9, 置信度=1.000, 时间=0.37 ms, 正确
样本  43: 真实=2, 预测=2, 置信度=1.000, 时间=0.37 ms, 正确
样本  44: 真实=2, 预测=2, 置信度=1.000, 时间=0.36 ms, 正确
样本  45: 真实=8, 预测=8, 置信度=1.000, 时间=0.36 ms, 正确
样本  46: 真实=2, 预测=2, 置信度=1.000, 时间=0.36 ms, 正确
样本  47: 真实=7, 预测=7, 置信度=1.000, 时间=0.36 ms, 正确
样本  48: 真实=0, 预测=0, 置信度=1.000, 时间=0.36 ms, 正确
样本  49: 真实=9, 预测=9, 置信度=1.000, 时间=0.36 ms, 正确
样本  50: 真实=1, 预测=1, 置信度=1.000, 时间=0.36 ms, 正确
样本  51: 真实=7, 预测=7, 置信度=1.000, 时间=0.36 ms, 正确
样本  52: 真实=4, 预测=4, 置信度=1.000, 时间=0.36 ms, 正确
样本  53: 真实=2, 预测=2, 置信度=1.000, 时间=0.36 ms, 正确
样本  54: 真实=1, 预测=1, 置信度=1.000, 时间=0.36 ms, 正确
样本  55: 真实=3, 预测=3, 置信度=1.000, 时间=0.36 ms, 正确
样本  56: 真实=8, 预测=8, 置信度=1.000, 时间=0.36 ms, 正确
样本  57: 真实=8, 预测=8, 置信度=1.000, 时间=0.36 ms, 正确
样本  58: 真实=0, 预测=0, 置信度=0.999, 时间=0.36 ms, 正确
样本  59: 真实=7, 预测=7, 置信度=1.000, 时间=0.35 ms, 正确
样本  60: 真实=6, 预测=6, 置信度=1.000, 时间=0.35 ms, 正确
样本  61: 真实=5, 预测=5, 置信度=1.000, 时间=0.34 ms, 正确
样本  62: 真实=1, 预测=1, 置信度=1.000, 时间=0.35 ms, 正确
样本  63: 真实=6, 预测=6, 置信度=1.000, 时间=0.34 ms, 正确
样本  64: 真实=2, 预测=2, 置信度=1.000, 时间=0.34 ms, 正确
样本  65: 真实=7, 预测=7, 置信度=1.000, 时间=0.34 ms, 正确
